iter	Logloss
0	0.6612469333
1	0.6330887115
2	0.6189271536
3	0.6027718972
4	0.5895909858
5	0.5703012646
6	0.5587396882
7	0.5477595778
8	0.5407318327
9	0.5262963092
10	0.5170662957
11	0.5090516673
12	0.5032592775
13	0.4961020096
14	0.4883521288
15	0.4834809864
16	0.4768417114
17	0.4730036895
18	0.4695457577
19	0.4659726416
20	0.4596769688
21	0.4547153544
22	0.4533988505
23	0.4478440758
24	0.4426469918
25	0.4410368212
26	0.4339194441
27	0.4290410345
28	0.4283829924
29	0.4239909892
30	0.4179465494
31	0.4152001771
32	0.4128070711
33	0.411201894
34	0.4077523383
35	0.4027447151
36	0.3997988779
37	0.3987498248
38	0.3926630847
39	0.3912807719
40	0.3890194435
41	0.3836166162
42	0.3831762908
43	0.3808466419
44	0.3774650372
45	0.3745427326
46	0.3715013476
47	0.366324179
48	0.3623995495
49	0.3591682728
50	0.3583551634
51	0.3580490241
52	0.3578152375
53	0.35357951
54	0.353577161
55	0.3499155976
56	0.343784914
57	0.3413751305
58	0.3400173864
59	0.3377865185
60	0.332695697
61	0.329897221
62	0.3260066679
63	0.3239401916
64	0.320870262
65	0.3191173769
66	0.3191135131
67	0.3158905338
68	0.3128012558
69	0.3083711474
70	0.307321383
71	0.3031702114
72	0.3031663527
73	0.3018224715
74	0.2996717009
75	0.2984120812
76	0.2967950751
77	0.2953757969
78	0.2944032359
79	0.293341674
80	0.2909717217
81	0.2883884001
82	0.2865883144
83	0.2841343145
84	0.2826915707
85	0.2802313172
86	0.2782302302
87	0.2768946664
88	0.2728901615
89	0.2714898941
90	0.2697056271
91	0.2642170459
92	0.2641971455
93	0.2617368235
94	0.2597030972
95	0.2579460839
96	0.2551433905
97	0.2551260768
98	0.2537076507
99	0.2512619081
