iter	Passed	Remaining
0	58	5797
1	60	2969
2	61	1981
3	62	1489
4	63	1210
5	65	1025
6	67	892
7	68	790
8	70	712
9	72	648
10	73	597
11	75	554
12	77	516
13	78	484
14	80	456
15	82	430
16	83	408
17	85	388
18	86	370
19	88	355
20	90	340
21	92	327
22	93	314
23	95	302
24	97	291
25	98	280
26	100	270
27	101	261
28	102	250
29	103	242
30	105	234
31	107	227
32	108	220
33	110	213
34	111	207
35	113	201
36	115	195
37	116	190
38	118	184
39	120	180
40	121	175
41	123	170
42	125	165
43	126	161
44	128	156
45	130	152
46	132	149
47	133	145
48	135	140
49	137	137
50	139	133
51	139	129
52	140	125
53	142	121
54	143	117
55	144	113
56	146	110
57	148	107
58	149	104
59	151	100
60	152	97
61	154	94
62	156	91
63	158	88
64	159	85
65	160	82
66	161	79
67	163	76
68	164	74
69	166	71
70	167	68
71	169	65
72	170	62
73	171	60
74	173	57
75	175	55
76	176	52
77	178	50
78	179	47
79	181	45
80	183	43
81	184	40
82	186	38
83	188	35
84	189	33
85	191	31
86	192	28
87	194	26
88	196	24
89	197	21
90	199	19
91	201	17
92	202	15
93	203	13
94	205	10
95	207	8
96	208	6
97	210	4
98	211	2
99	213	0
